Ragione,Sorgente,Convalida,Pagine
Non trovata (404),Sito web,Non iniziata,23
Pagina duplicata senza URL canonico selezionato dall'utente,Sito web,Non iniziata,3
Pagina con reindirizzamento,Sito web,Non iniziata,2
Bloccata a causa di un altro errore 4xx,Sito web,Non iniziata,1
"Pagina scansionata, ma attualmente non indicizzata",Sistemi di Google,Non iniziata,693
